Date,Revenue,Orders,Traffic,Conversion Rate,Cost,Refunds
2026-07-14,42000,820,24000,3.4,11000,310
2026-07-15,42687,827,24393,3.42,11090,313
2026-07-16,43299,833,24742,3.44,11170,315
2026-07-17,43767,837,25010,3.45,11231,317
2026-07-18,44041,840,25166,3.46,11267,318
2026-07-19,44090,840,25194,3.46,11274,318
2026-07-20,43910,839,25091,3.45,11250,317
2026-07-21,43518,835,24868,3.44,11199,316
2026-07-22,42960,829,24549,3.43,11126,314
2026-07-23,42296,823,24169,3.41,11039,311
2026-07-24,41600,816,23771,3.39,10948,309
2026-07-25,40947,810,23398,3.37,10862,306
2026-07-26,40411,804,23092,3.36,10792,304
2026-07-27,40049,801,22885,3.35,10745,303
2026-07-28,39902,800,22801,3.34,10725,302
2026-07-29,39986,800,22849,3.35,10736,303
2026-07-30,40292,803,23024,3.35,10776,304
2026-07-31,40786,808,23306,3.37,10841,306
2026-08-01,41413,814,23665,3.38,10923,308
2026-08-02,42105,821,24060,3.4,11014,310
2026-08-03,42786,828,24449,3.42,11103,313
2026-08-04,43380,833,24788,3.44,11181,315
2026-08-05,43822,838,25041,3.45,11239,317
2026-08-06,44063,840,25179,3.46,11270,318
2026-08-07,44078,840,25187,3.46,11272,318
2026-08-08,43863,838,25065,3.45,11244,317
2026-08-09,43444,834,24825,3.44,11189,315
2026-08-10,57440,870,36252,2.43,15448,351
